0, 0,0,0
1070, 8796,957,127
1125, 8714,1001,110
0, 0,0,0
95, 9746,1102,7
1153, 8680,986,131
96, 9816,1031,7
94, 9739,1108,9
1130, 8765,947,108
0, 0,0,0
95, 9773,1070,12
88, 9775,1077,10
0, 0,0,0
1045, 8794,981,130
0, 0,0,0
84, 9806,1047,13
0, 0,0,0
88, 9801,1052,9
95, 9791,1053,11
86, 9731,1116,17
1117, 8724,984,125
1122, 8729,993,106
1077, 8774,990,109
1161, 8658,1003,128
1041, 8805,990,114
0, 0,0,0
0, 0,0,0
0, 0,0,0
1133, 8768,940,109
1118, 8704,1022,106
0, 0,0,0
87, 9808,1045,10
0, 0,0,0
0, 0,0,0
1078, 8736,1005,131
93, 9751,1096,10
85, 9819,1031,15
82, 9774,1080,14
92, 9796,1053,9
0, 0,0,0
1159, 8704,960,127
0, 0,0,0
1139, 8712,976,123
1130, 8715,960,145
102, 9757,1075,16
1097, 8727,990,136
0, 0,0,0
1158, 8734,925,133
0, 0,0,0
0, 0,0,0
0, 0,0,0
94, 9763,1081,12
1118, 8715,1000,117
0, 0,0,0
93, 9770,1074,13
89, 9759,1087,15
1196, 8712,930,112
89, 9769,1083,9
0, 0,0,0
89, 9819,1033,9
953, 8887,985,125
1117, 8727,988,118
1114, 8735,983,118
0, 0,0,0
1023, 8835,986,106
1137, 8704,967,142
0, 0,0,0
1163, 8682,972,133
0, 0,0,0
0, 0,0,0
89, 9774,1080,7
1030, 8821,979,120
0, 0,0,0
0, 0,0,0
82, 9741,1115,12
1101, 8698,1002,149
1116, 8783,934,117
0, 0,0,0
1126, 8674,1035,115
1062, 8764,995,129
1146, 8719,971,114
0, 0,0,0
1109, 8768,962,111
1135, 8685,1003,127
92, 9780,1069,9
1158, 8664,996,132
1086, 8750,977,137
87, 9785,1065,13
92, 9753,1092,13
79, 9734,1125,12
99, 9748,1095,8
0, 0,0,0
1155, 8713,966,116
1119, 8806,945,80
82, 9729,1126,13
1061, 8801,975,113
1183, 8686,949,132
1043, 8748,1037,122
1161, 8707,968,114
91, 9765,1089,5
1068, 8769,985,128
88, 9759,1092,11
112, 9767,1056,15
0, 0,0,0
0, 0,0,0
103, 9757,1081,9
0, 0,0,0
89, 9776,1074,11
99, 9759,1079,13
0, 0,0,0
1089, 8726,1004,131
0, 0,0,0
91, 9791,1064,4
1156, 8705,963,126
0, 0,0,0
85, 9790,1063,12
0, 0,0,0
0, 0,0,0
1051, 8815,936,148
71, 9764,1103,12
0, 0,0,0
94, 9791,1061,4
86, 9773,1081,10
103, 9794,1045,8
1146, 8755,936,113
1079, 8808,930,133
101, 9688,1152,9
94, 9751,1094,11
0, 0,0,0
104, 9735,1102,9
1116, 8789,936,109
77, 9781,1078,14
0, 0,0,0
1115, 8705,995,135
1087, 8785,965,113
1206, 8622,961,161
1112, 8766,968,104
0, 0,0,0
0, 0,0,0
1132, 8726,985,107
79, 9732,1131,8
0, 0,0,0
994, 8821,1018,117
1115, 8730,962,143
0, 0,0,0
1168, 8713,940,129
88, 9763,1082,17
76, 9823,1043,8
89, 9826,1024,11
0, 0,0,0
1067, 8798,962,123
94, 9728,1117,11
84, 9798,1062,6
0, 0,0,0
